match_status,text,wgs
Not in WoS,"General Assembly of the United Nations Millennium Declaration. 8th Plenary meeting, September, New York.  - 2000 - UN",AR4 WG3
In WoS,"Variability of Nares Strait ice flux. Geophys. Res - 2005 - Kwok, R.",AR5 WG1
In WoS,"Toward a minimal representation of aerosols in climate models: Description and evaluation in the Community Atmosphere Model CAM5. Geophys - 2012 - Liu, X., et al.",AR5 WG1
In WoS,"How IEQ affects health, productivity.  - 2002 - Fisk, W.J.",AR4 WG3
In WoS, Potential Impacts of Climate Change on U - 2008 - National Research Council,AR5 WG2
In WoS,"Antarctic and Southern Ocean influences on Late Pliocene global cooling. Proc. Natl. Acad. Sci - 2012 - McKay, R., et al.",AR5 WG1
Not in WoS,"An assessment of programs to promote improved household stoves in China.  - 2004 - Sinton, J.E., K.R. Smith, J.W. Peabody, L. Yaping, Z. Xiliang, R. Edwards, and G. Quan",AR4 WG3
In WoS,"Simulation of satellite channel radiances in the Met Office Unified Model. Q. J. R. Meteorol - 2003 - Ringer, M. A., J. M. Edwards, and A. Slingo",AR5 WG1
In WoS,"Globalthreats to human water security and river biodiversity - 2010 - V&#246;r&#246;smarty, C.J., P.B. McIntyre, M.O. Gessner, D. Dudgeon, A. Prusevich, P. Green, S.Glidden, S.E. Bunn, C.A. Sullivan, C.R. Liermann, and P.M. Davies",AR5 WG2
In WoS,"Contemporary changes of the hydrological cycle over the contiguous United States: Trends derived from in situ observations. J - 2004 - Groisman, P., R. Knight, T. R. Karl, D. Easterling, B. M. Sun, and J. Lawrimore",AR5 WG1
In WoS,"A reexamination of the Jordan mean tropical sounding based on awareness of the Saharan air layer: Results from 2002. J - 2008 - Dunion, J., and C. Marron",AR5 WG1
In WoS,"Geographical,meteorological and vectorial factors related to malaria re-emergence in Huang-Huai River of central China - 2010 - Zhou, S.S., F. Huang, J.J. Wang, S.S. Zhang, Y.P. Su, and L.H. Tang",AR5 WG2
In WoS,"ENSO seasonality: 1950–78 versus 1979–92. J - 1996 - Mitchell, T. P., and J. M. Wallace",AR5 WG1
In WoS,"Trends in storminess over the Netherlands, 1962–2002. Int. J - 2005 - Smits, A., A. Tank, and G. P. Konnen",AR5 WG1
In WoS,"Characterisation of extreme winter precipitation in Mediterranean coastal sites and associated anomalous atmospheric circulation patterns. Nat. Hazards Earth Syst - 2010 - Toreti, A., E. Xoplaki, D. Maraun, F. G. Kuglitsch, H. Wanner, and J. Luterbacher",AR5 WG1
Not in WoS,"Global models, local risks: responding to climate change in the SwissAlps - 2009 - Strauss, S.",AR5 WG2
Not in WoS,"Impacts of climate change on tropical cyclones in the Western North Pacific Basin. Part II: Late twenty-first century projections. Trop. Cyclone Res - 2012 - Ying, M., T. R. Knutson, H. Kamahori, and T.-C. Lee",AR5 WG1
In WoS," The investigation of green roofand white roof cooling potential on single storey residential building in theMalaysian climate - 2011 - Ismail, A., M.H.A. Samad, and A.M.A. Rahman",AR5 WG2
In WoS,"Towardsendogenous livestock development: Borana pastoralists’ responses toenvironmental and institutional changes - 2008 - Homann, S., B. Rischkowsky, J. Steinbach, M. Kirk, and E. Mathias",AR5 WG2
Not in WoS,"Regional Initiatives to Scale up Energy Access for Economic and Human Development Sharing Lessons Learned: The Case of the ECOWAS. Economic Commission of West African States (ECOWAS), 13 pp. Available at: http: / / www. gfse - 2006 - ECOWAS",AR5 WG3
Not in WoS,"Analysis of the Scope of Energy Subsi-dies and Suggestions for the G-20 Initiative. Joint Report Prepared for Submis-sion to the G-20 Summit Toronto (Canada), 26 – 27 June 2010. Paris, Cannes, France, 81 pp. Available at: http: / / www. oecd - 2010 - IEA, OECD, OPEC, and World Bank",AR5 WG3
Not in WoS,A Note on Rising Food Prices. World Bank — Development Eco-nomics Group (DEC) - 2008 - Mitchell D,AR5 WG3
In WoS,"The Delimitation of Functional Regions, Nodal Regions, and Hierarchies by Functional Distance Approaches. Journal of Regional Science 11, 57 – 72 - 1971 - Brown L A, and J Holmes",AR5 WG3
In WoS,"Obesity relationships with community design, physical activity, and time spent in cars. American Journal of Preventive Medicine 27, 87 – 96 - 2004 - Frank L D, M A Andresen, and T L Schmid",AR5 WG3
Not in WoS,"Intellectual Property and Access to Clean Energy Technologies in Developing Countries: An Analysis of Solar Photovoltaic, Biofuels and Wind Technologies. ICTSD Trade and Sustainable Energy Series Issue Paper No. 2 - 2007 - Barton J H",AR5 WG3
In WoS,"Feebates, rebates and gas-guzzler taxes: a study of incentives for increased fuel economy. Energy Policy 33, 757 – 775 - 2005 - Greene D L, P D Patterson, M Singh, and J Li",AR5 WG3
Not in WoS,"World Development Report 2009: Reshaping Economic Geog-raphy. World Bank, Washington, D. C., 383 pp - 2009 - World Bank",AR5 WG3
Not in WoS,"From science to policy:developing responses to climate change - 2003 - Scheraga, J.D., K.L. Ebi, J. Furlow, and A.R. Moreno",AR5 WG2
In WoS," Resetting global expectations from agricultural biofuels. Environmental Research Letters 4, 014004 (9pp) - 2009 - Johnston M, J A Foley, T Holloway, C Kucharik, and C Monfreda",AR5 WG3
In WoS,"Enterocytozoon bieneusi among children with diarrhea attending MulagoHospital in Uganda - 2002 - Tumwine, J., A. Kekitiinwa, N. Nabukeera, D. Akiyoshi, M. Buckholt, and S. Tzipori",AR5 WG2
Not in WoS,Arctic Biodiversity Assessment: Status and Trends in Arctic Biodiversity - 2013 - CAFF,AR5 WG2
In WoS,"Sensitivity of the LMD general circulation model to greenhouse forcing associated with two different cloud water parametrizations.  - 1994 - Le Treut, H., Z.X. Li, and M. Forichon",AR4 WG1
